project_name,package_name,class_name,BrainMethod,ClassDataShouldBePrivate,ComplexClass,DataClass,DispersedCoupling,FeatureEnvy,GodClass,IntensiveCoupling,LazyClass,LongMethod,LongParameterList,MessageChain,RefusedBequest,ShotgunSurgery,SpaghettiCode,SpeculativeGenerality
BGPP-develop,Controllers,Controllers.AddEditReservationController,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.AddEditReservationController.CancelListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.AddEditReservationController.DeleteListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.AddEditReservationController.SaveListener,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.CustomerOverviewController,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.CustomerOverviewController.SearchListener,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.CustomerOverviewController.TableClickListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.EditCustomerController,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.EditCustomerController.SaveListener,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.EditCustomerController.CancelListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.ReservationOverviewController,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.ReservationOverviewController.TableMouseListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.ReservationOverviewController.NewReservationListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.ReservationOverviewController.CustomerListListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.ReservationOverviewController.PrevWeekListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.ReservationOverviewController.NextWeekListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.ReservationOverviewController.GotoWeekListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Controllers,Controllers.ReservationOverviewController.UpdateListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BGPP-develop,BGPP-develop,Main,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BGPP-develop,Models,Models.Car,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BGPP-develop,Models,Models.CarType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Models,Models.Customer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BGPP-develop,Models,Models.Model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Models,Models.Reservation,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BGPP-develop,UnitTests,Models.UnitTests.CarTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BGPP-develop,UnitTests,Models.UnitTests.CarTypeTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BGPP-develop,UnitTests,Models.UnitTests.CustomerTest,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
BGPP-develop,UnitTests,Models.UnitTests.ReservationTest,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
BGPP-develop,Util,Util.Logger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Util,Util.MySQLConnection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BGPP-develop,Views,Views.AddEditReservation,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BGPP-develop,Views,Views.CustomerOverview,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BGPP-develop,Views,Views.CustomerOverview.CustomTableModel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Views,Views.EditCustomer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BGPP-develop,Views,Views.EditCustomer.CustomTableModel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Views,Views.ReservationOverview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Views,Views.ReservationOverview.CustomTableModel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGPP-develop,Views,Views.ReservationOverview.CustomTableCellRenderer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.commands.CreateTable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.commands.Delete,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.commands.DropTable,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.commands.ICommand,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.commands.InsertCommandWithoutValues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.commands.InsertCommandWithValues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.commands.PrintQuery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.commands.UpdateTable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,data,edu.rivfader.data.Database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,data,edu.rivfader.data.Database.RowReaderIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,data,edu.rivfader.data.Database.AppendingObjectOutputStream,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,data,edu.rivfader.data.Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,errors,edu.rivfader.errors.AmbiguousColumnName,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,errors,edu.rivfader.errors.ColumnLoadError,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,errors,edu.rivfader.errors.ColumnWriteError,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,errors,edu.rivfader.errors.NoColumnValueMappingPossible,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,errors,edu.rivfader.errors.NotEnoughValuesException,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,errors,edu.rivfader.errors.TableAmbiguous,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,errors,edu.rivfader.errors.UnknownColumnName,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,rivfader,edu.rivfader.Main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.relalg.operations.BaseRelalgTransformation,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.relalg.operation.evaluation.Evaluator,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,evaluation,edu.rivfader.relalg.operation.evaluation.LoadTableEvaluationIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.relalg.operation.evaluation.ProductEvaluationIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.relalg.operation.evaluation.ProjectionEvaluationIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
