file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,project
/content/ck/repos_java/BGPP/Controllers/ReservationOverviewController.java,Controllers.ReservationOverviewController$NewReservationListener,innerclass,2,2,0,2,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,BGPP
/content/ck/repos_java/BGPP/Controllers/AddEditReservationController.java,Controllers.AddEditReservationController,class,8,10,2,8,5,1,0,16,0,0.0,,,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,1,107,0,2,1,0,0,14,4,29,1,24,3,0,3,0,43,1,0,BGPP
/content/ck/repos_java/BGPP/Controllers/AddEditReservationController.java,Controllers.AddEditReservationController$CancelListener,innerclass,0,0,0,0,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,BGPP
/content/ck/repos_java/BGPP/Models/Model.java,Models.Model,class,3,11,8,3,19,1,4,17,36,0.0,0.0,0.0,9,0,5,2,2,0,7,3,0,0,0,0,0,0,0,0,0,0,7,72,11,1,5,3,0,21,8,18,9,15,2,0,0,0,130,1025,0,BGPP
/content/ck/repos_java/BGPP/Controllers/ReservationOverviewController.java,Controllers.ReservationOverviewController$NextWeekListener,innerclass,2,2,0,2,1,1,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,23,2,0,BGPP
/content/ck/repos_java/BGPP/Controllers/CustomerOverviewController.java,Controllers.CustomerOverviewController,class,4,5,1,4,1,1,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,39,0,0,0,0,0,0,0,3,0,3,0,0,2,0,18,1,0,BGPP
/content/ck/repos_java/BGPP/Models/Customer.java,Models.Customer,class,4,14,10,4,31,2,0,24,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,95,17,1,8,2,1,55,6,18,9,14,2,0,0,0,154,1,0,BGPP
/content/ck/repos_java/BGPP/Views/ReservationOverview.java,Views.ReservationOverview,class,5,15,10,5,28,12,0,31,175,0.904348,0.0,0.0,23,1,21,1,1,0,22,0,0,0,15,1,0,14,0,1,0,0,0,261,7,3,2,0,0,11,15,25,1,24,2,0,3,0,168,1,0,BGPP
/content/ck/repos_java/BGPP/Views/ReservationOverview.java,Views.ReservationOverview$CustomTableModel,innerclass,2,2,0,2,20,2,0,21,10,0.73333335,0.0,0.0,9,0,9,0,0,0,9,0,0,0,5,0,0,5,0,0,0,0,1,93,8,4,5,0,15,16,32,33,13,17,3,0,0,0,91,2,0,BGPP
/content/ck/repos_java/BGPP/Models/Car.java,Models.Car,class,5,11,6,5,19,2,0,20,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,71,10,1,5,2,0,52,5,13,5,13,2,0,0,0,123,1,0,BGPP
/content/ck/repos_java/BGPP/Views/CustomerOverview.java,Views.CustomerOverview$CustomTableModel,innerclass,0,0,0,0,10,2,0,3,7,0.5833334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,32,9,0,2,0,0,4,4,2,0,2,1,0,0,0,57,2,0,BGPP
/content/ck/repos_java/BGPP/Controllers/AddEditReservationController.java,Controllers.AddEditReservationController$DeleteListener,innerclass,4,4,0,4,3,1,0,6,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,2,0,2,2,0,0,0,25,2,0,BGPP
/content/ck/repos_java/BGPP/Controllers/EditCustomerController.java,Controllers.EditCustomerController,class,6,7,1,6,2,1,0,14,0,0.0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,43,0,1,0,0,0,12,5,9,4,8,1,0,2,0,25,1,0,BGPP
/content/ck/repos_java/BGPP/Controllers/CustomerOverviewController.java,Controllers.CustomerOverviewController$TableClickListener,innerclass,3,3,0,3,6,1,0,4,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,1,1,1,0,1,1,0,0,0,33,2,0,BGPP
/content/ck/repos_java/BGPP/Models/UnitTests/CarTypeTest.java,Models.UnitTests.CarTypeTest,class,5,5,0,5,9,1,0,13,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,39,0,0,0,0,0,15,6,9,2,8,0,0,0,0,29,1,0,BGPP
/content/ck/repos_java/BGPP/Models/UnitTests/CarTest.java,Models.UnitTests.CarTest,class,5,5,0,5,11,1,0,12,0,0.35,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,42,0,0,0,0,0,20,7,10,0,9,0,0,0,0,31,1,0,BGPP
/content/ck/repos_java/BGPP/Views/ReservationOverview.java,Views.ReservationOverview$CellState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,BGPP
/content/ck/repos_java/BGPP/Controllers/CustomerOverviewController.java,Controllers.CustomerOverviewController$SearchListener,innerclass,2,2,0,2,2,1,0,6,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,3,1,4,0,2,1,0,0,0,24,2,0,BGPP
/content/ck/repos_java/BGPP/Util/Logger.java,Util.Logger,class,1,9,8,1,9,1,0,8,0,0.5,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,1,0,2,0,0,0,0,0,40,2,0,2,3,0,5,0,5,5,4,1,0,0,0,57,1,0,BGPP
/content/ck/repos_java/BGPP/Models/CarType.java,Models.CarType,class,4,10,6,4,17,2,0,16,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,76,13,1,4,3,0,35,1,15,8,15,2,0,0,0,113,1,0,BGPP
/content/ck/repos_java/BGPP/Controllers/ReservationOverviewController.java,Controllers.ReservationOverviewController$PrevWeekListener,innerclass,2,2,0,2,1,1,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,23,2,0,BGPP
/content/ck/repos_java/BGPP/Models/Reservation.java,Models.Reservation,class,5,12,7,5,47,2,0,25,91,0.0,0.0,0.0,14,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,158,24,2,12,5,0,125,16,36,17,34,2,0,0,0,156,1,0,BGPP
/content/ck/repos_java/BGPP/Controllers/ReservationOverviewController.java,Controllers.ReservationOverviewController$TableMouseListener,innerclass,3,3,0,3,7,1,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,2,1,0,1,2,0,0,0,33,2,0,BGPP
/content/ck/repos_java/BGPP/Views/EditCustomer.java,Views.EditCustomer$CustomTableModel,innerclass,0,0,0,0,11,2,0,4,7,0.5833334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,34,10,0,2,0,0,7,5,3,0,3,1,0,0,0,62,2,0,BGPP
/content/ck/repos_java/BGPP/Controllers/AddEditReservationController.java,Controllers.AddEditReservationController$SaveListener,innerclass,5,5,0,5,4,1,0,18,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,37,0,0,0,0,0,6,1,15,0,15,2,0,0,0,42,2,0,BGPP
/content/ck/repos_java/BGPP/Controllers/ReservationOverviewController.java,Controllers.ReservationOverviewController$GotoWeekListener,innerclass,2,2,0,2,2,1,0,6,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,0,1,0,0,1,4,3,4,3,3,1,0,0,0,26,2,0,BGPP
/content/ck/repos_java/BGPP/Views/AddEditReservation.java,Views.AddEditReservation,class,3,9,6,3,18,6,0,19,61,0.8410257,0.0,0.0,15,0,14,1,0,0,14,0,0,0,13,0,3,6,0,4,3,0,1,120,6,1,0,1,0,12,13,22,0,21,1,0,0,0,117,1,0,BGPP
/content/ck/repos_java/BGPP/Controllers/EditCustomerController.java,Controllers.EditCustomerController$CancelListener,innerclass,0,0,0,0,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,BGPP
